year,film_festival,title,director,field,award,genre,plot,rating,runtime,prodYear,actors,img_link,stills,score
2021,청주국제단편영화제,이종,안소회,코미디/멜로/공포,,드라마,"링 위에서 자신을 버린 아버지를 만나면 어떨까? 거기에 그 아버지가 자신을 알아보지도 못한다면? 예상치 못한 만남에 어찌할 바를 몰라 하다 주먹으로 겨우 그 마음을 전달하는 겸수가, 뒤늦게 아들임을 알아차리고 주먹을 받아주는 우재의 모습이 아리다. 서로의 존재를 확신했을 때 보인 겸수와 우재의 눈빛이 쉬이 잊혀지지 않을 것 같다. (백재호)",,16,2019,Lee Jung Hyun,https://ssl.pstatic.net/imgmovie/mdi/mit110/1948/194878_P01_160158.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/59/00/tn_DST742619.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/00/tn_DST742620.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/00/tn_DST742621.jpg",0
2021,청주국제단편영화제,건설 유니버스의 어떤 오류,박군제,실험영화,,"SF,실험","스크린 안의 세계에는 한 가지 원칙이 있다. 그것은 건설의 원리다. 미완성되거나 버려진 건축물은 오류로 판정돼 질서 유지의 명목으로 디버깅 된다. 하지만 이러한 건설 유니버스의 원칙으로부터 벗어나고자 하는 움직임이 있다. 영상은 방치된 폐건물의 시공간과 건설 중인 공간의 정보를 뒤섞기 시작한다. 이윽고 혼합된 데이터는 오류를 일으키고 에러가 난 이미지와 사운드의 얽힘은 스크린이라는 평면 세계 바깥으로 도약을 시도한다. 박군제 감독의  건설 유니버스의 어떤 오류 는 이미지와 사운드의 충돌을 통해 시선 바깥을 사유하도록 만드는 실험영화다. 건축과 공간이라는 테마 아래 수집된 이미지들은 건축에 대한 독특한 분위기를 형성해 나가기 시작한다. 그것은 우리가 기존에 가지고 있던 건축과 개발에 대한 인식을 자극하여 스크린 바깥으로 확장된다. 특히 자연적인 소리와 소음을 조합해 만들어낸 사운드 스케이프는 공간감이라는 영화의 테마와 썩 잘 어울리며, 이른바 ‘소리의 풍경화’라고 할 만한 체험으로 이어진다. [송경원]",,15,2020,"김준홍,이수빈",https://ssl.pstatic.net/imgmovie/mdi/mit110/1940/194073_P01_111514.png,"http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707012.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707013.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707014.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707015.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707016.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707017.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/65/tn_DST707018.jpg",0
2021,청주국제단편영화제,바주카!,강소연,코미디/멜로/공포,,코메디,재개발 단지에 살고 있는 '민주'와 '양미'는 집 앞에 들어선 건물을 부시기 위해 바주카포를 만든다.,,19,2020,"노서연,구자은,김종태",,"http://file.koreafilm.or.kr/thm/01/copy/00/55/56/tn_DST706047.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/56/tn_DST706048.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/56/tn_DST706049.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/56/tn_DST706050.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/56/tn_DST706051.jpg",0
2021,청주국제단편영화제,선화의 근황,김소형,비경쟁,,드라마,선화는 어렵게 취업한 빵집에서 중학교 동창 진경을 만난다. 선화는 진경이가 빵집 내에서 따돌림을 당하고 있다는 사실을 알게 되고 어렵게 취업한 상황에서 갈등에 빠진다.,,21,2018,"임호준,김소형",https://ssl.pstatic.net/imgmovie/mdi/mit110/1742/174280_P01_162405.png,"http://file.koreafilm.or.kr/thm/01/copy/00/49/20/tn_DSKT297818.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/25/tn_DSKT298103.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/25/tn_DSKT298104.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/25/tn_DSKT298105.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/49/25/tn_DSKT298106.jpg",0
2021,대구단편영화제,걸어도 걸어도,김태희,국내경쟁,,드라마,"춘복은 자신이 10년 전, 조연으로 찍은 영화가 상영한다는 전화를 받고 GV(관객과의 대화)를 위해 길을 나선다.",,26,2021,"김준배,한서연,정은경",https://ssl.pstatic.net/imgmovie/mdi/mit110/2106/210609_P01_095928.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738660.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738661.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738662.jpg",0
2021,대구단편영화제,고백할 거야,김선빈,애플시네마,애플시네마 배리어프리 수상,드라마,공개고백을 받은 '성지원'은 대답을 하러 간다.,,14,2021,"김이슬,김선빈",https://ssl.pstatic.net/imgmovie/mdi/mit110/2068/206869_P01_160407.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/57/56/tn_DST727931.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/56/tn_DST727932.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/56/tn_DST727933.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/56/tn_DST727934.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/56/tn_DST727935.jpg",10
2021,대구단편영화제,니가 일주일 넘게 연락이 없어서,황다슬,국내경쟁,관객상,드라마,주원은 일주일 째 연락이 두절된 대학교 동기 은하가 걱정돼 은하의 집에 찾아간다.지금은 2021년 2월의 서울. 코로나 2.5단계로 취식도 금지된 시기.결국 두 사람은 은하의 집에서 못다한 이야기를 하기로 한다.,,12,2021,"손우현,김보라",https://ssl.pstatic.net/imgmovie/mdi/mit110/2080/208021_P01_172406.png,http://file.koreafilm.or.kr/thm/01/copy/00/58/61/tn_DST738598.jpg,10
2021,대구단편영화제,바람이 지나간 자리,권순형,배리어프리,,드라마,홀로 시골에 내려와 추모관 청소부 일을 하는 서민. 서민은 제일 밑단에 있는 엄마의 유골함이 신경 쓰인다. 서민은 엄마의 유골함 위치를 바꾸고 싶다.,,29,2020,"김현,정인기,추연규",https://ssl.pstatic.net/imgmovie/mdi/mit110/1961/196145_P01_115213.png,"http://file.koreafilm.or.kr/thm/01/copy/00/57/65/tn_DST728872.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/65/tn_DST728873.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/65/tn_DST728874.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/65/tn_DST728870.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/65/tn_DST728871.jpg",0
2021,대구단편영화제,여름의 사랑,김서현,국내경쟁,,드라마,고등학생 여름이는 남자친구 준수와 한 번 해보고 싶다.,,15,2020,"강채윤,권순형",https://ssl.pstatic.net/imgmovie/mdi/mit110/1996/199669_P01_180720.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738708.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738709.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738710.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/62/tn_DST738707.jpg",0
2021,대구단편영화제,조의봉투,장주선,배리어프리,,드라마,"고등학교 동창의 부고 문자를 받고 장례식장으로 향하는 지희. 조의금 액수에 대해 고민한다.(2020년 제21회 대구단편영화제)연출의도슬픔도 값으로 매겨지는 세상, 쉬운 게 하나 없다.",,23,2020,"김현진,홍석우",https://ssl.pstatic.net/imgmovie/mdi/mit110/1961/196141_P01_133439.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/86/tn_DST741087.jpg,0
2021,대구단편영화제,큐브,조미혜,로컬존,,드라마,"신영은 서울 고시원에서 9급 공무원을 준비 중이다. 어느 날, 눈을 떠 보니 신영의 몸은 정육면체가 되어 있었다. 아무 의사 표현도 못하게 된 신영은 연구소로 옮겨져 연구 자료로 쓰인다. 하지만 연구소에서는 감염 원인도 치료 방법도 찾아내지 못한다.",,15,2020,Ryu Abel,https://ssl.pstatic.net/imgmovie/mdi/mit110/2041/204164_P01_171517.JPG,"http://file.koreafilm.or.kr/thm/01/copy/00/58/77/tn_DST740224.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/77/tn_DST740225.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/77/tn_DST740226.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/77/tn_DST740227.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/58/77/tn_DST740228.jpg",0
